21980,Call of Juarez: Bound in Blood,8,8,12,1,8,Very Positive
312670,Strange Brigade,8,12,25,1,8,Very Positive
203750,Binary Domain,9,11,19,1,8,Very Positive
13600,Prince of Persia: The Sands of Time,9,10,10,1,8,Very Positive
225260,Brütal Legend,9,14,24,1,8,Very Positive
47780,Dead Space 2,9,12,16,1,8,Very Positive
19830,Tom Clancy's Rainbow Six 3: Gold Edition,9,30,59,1,8,Very Positive
522210,Serial Cleaners,9,10,11,0.93,8,Very Positive
204100,Max Payne 3,10,13,32,1,8,Very Positive
41070,Serious Sam 3: BFE,10,14,27,1,8,Very Positive
6020,Star Wars Jedi Knight: Jedi Academy,10,11,14,1,9,Overwhelmingly Positive
208200,Doom 3: BFG Edition,10,16,37,1,8,Very Positive
389140,Horizon Chase Turbo,10,16,32,1,8,Very Positive
238460,BattleBlock Theater,10,17,40,1,9,Overwhelmingly Positive
233130,Shadow Warrior,10,12,14,1,8,Very Positive
690640,Trine 4: The Nightmare Prince,10,12,15,1,8,Very Positive
108500,Vessel,10,13,13,1,8,Very Positive
9050,Doom 3,11,13,16,1,8,Very Positive
330830,Tales from the Borderlands,11,11,12,1,8,Very Positive
256290,Child of Light,11,13,15,1,8,Very Positive
9310,Warhammer 40,000: Dawn of War - Winter Assault,11,13,19,1,8,Very Positive
108710,Alan Wake,11,14,26,1,8,Very Positive
667720,Red Faction: Guerrilla - Re-Mars-tered,11,18,35,0.92,8,Very Positive
113200,The Binding of Isaac,11,47,139,1,9,Overwhelmingly Positive
2990,FlatOut 2,12,16,21,1,8,Very Positive
3830,Psychonauts,12,15,21,1,9,Overwhelmingly Positive
13500,Prince of Persia: Warrior Within,12,15,17,1,8,Very Positive
6300,Dreamfall: The Longest Journey,12,13,15,1,8,Very Positive
210770,Sanctum 2,12,30,59,1,8,Very Positive
233130,Shadow Warrior,12,15,36,1,8,Very Positive
234650,Shadowrun Returns,12,14,18,1,8,Very Positive
1085660,Destiny 2,12,38,156,1,8,Very Positive
70,Half-Life,12,14,15,1,9,Overwhelmingly Positive
34010,Alpha Protocol,13,17,26,1,8,Very Positive
24780,SimCity 4 Deluxe,13,18,89,1,8,Very Positive
6030,Star Wars Jedi Knight II: Jedi Outcast,13,16,18,1,8,Very Positive
2290,Final Doom,13,16,17,1,8,Very Positive
15700,Oddworld: Abe's Oddysee,13,14,15,1,8,Very Positive
9450,Warhammer 40,000: Dawn of War - Soulstorm,13,24,51,1,9,Overwhelmingly Positive
13570,Tom Clancy's Splinter Cell: Chaos Theory,13,14,19,1,8,Very Positive
200260,Batman: Arkham City GOTY,14,23,57,1,9,Overwhelmingly Positive
9340,Company of Heroes: Opposing Fronts,14,16,40,1,8,Very Positive
238210,System Shock 2,14,17,23,1,9,Overwhelmingly Positive
