1245620,"Elden Ring GB",,,1,0.77
202750,"Alan Wake's American Nightmare",4,5,8,1
208200,"Doom 3: BFG Edition",10,16,37,1
510420,"The Hex",5,6,12,1
510420,"Hexen: Deathkings of the Dark Citadel",8,9,9,0.14
510420,"Strikepoint: The Hex Missions",,,,0.24
510420,"Ben 10 Alien Force: The Rise of Hex",5,,5,0.2
510420,"Thexder Neo",1,,12,0.45
510420,"Thexder",,,,0.57
510420,"Hexx: Heresy of the Wizard",17,,18,0.19
510420,"Hexcite: The Shapes of Victory",,,,0.2
12900,"Audiosurf",8,12,14,1
12900,"Audiosurf 2",10,15,281,0.82
667720,"Red Faction: Guerrilla - Re-Mars-tered",11,18,35,0.92
244430,"realMyst: Masterpiece Edition",6,7,7,1
91200,"Anomaly: Warzone Earth",6,10,23,0.95
91200,"Anomaly: Warzone Earth - Mobile Campaign",4,5,9,0.53
823130,"Totally Accurate Battlegrounds",4,,,1
224540,"Ace of Spades",7,,37,1
409720,"BioShock 2",11,14,23,0.48
34330,"Total War: Shogun 2",27,57,216,1
34330,"Total War: Shogun 2 - Fall of the Samurai",17,35,143,0.46
34330,"Total War: Shogun 2 - Rise of the Samurai",12,,,0.46
34330,"Total War: Shogun 2 - Battle of Kawagoe",,,,0.49
462780,"Darksiders",17,20,28,0.33
312670,"Strange Brigade",8,12,25,1
4520,"Full Spectrum Warrior",10,11,,1
4520,"Full Spectrum Warrior: Ten Hammers",15,,,0.62
211160,"Viking: Battle for Asgard",13,16,20,1
835950,"Transpose",6,,6,1
835950,"Transpose",,,,1
8240,"Sam & Max 105: Reality 2.0",2,2,3,1
39140,"Final Fantasy VII",36,50,82,1
39140,"Final Fantasy VII (NES)",17,,,0.74
39140,"Final Fantasy VII Remake",33,42,86,0.71
39140,"Final Fantasy VIII",40,54,80,0.94
39140,"Crisis Core: Final Fantasy VII Reunion",14,21,46,0.45
39140,"Final Fantasy VII Remake - Episode INTERmission",5,7,18,0.36
39140,"Final Fantasy VII: Ever Crisis",,39,,0.57
39140,"Final Fantasy VII Rebirth",,,,0.68
39140,"Crisis Core: Final Fantasy VII",18,30,73,0.57
39140,"Dirge of Cerberus: Final Fantasy VII",12,14,30,0.47
39140,"PowerWash Simulator - Midgar Special Pack",3,3,4,0.15
39140,"Before Crisis: Final Fantasy VII",9,10,14,0.53
39140,"Final Fantasy VII and Final Fantasy VIII Remastered - Twin Pack",,,,0.27
39140,"Final Fantasy VII: The First Soldier",,,,0.47
39140,"Super Smash Bros. Ultimate - Challenger Pack 8: Sephiroth",,1,1,0.14
203750,"Binary Domain",9,11,19,1
6910,"Deus Ex",23,29,39,0.21
274520,"Darkwood",18,28,44,1
20900,"The Witcher",35,46,64,0.38
205950,"Jet Set Radio",7,10,21,1
205950,"Jet Set Radio Future",11,15,29,0.65
20,"Team Fortress Classic",19,21,,1
20540,"Company of Heroes: Tales of Valor",5,6,27,1
250460,"Bridge Constructor",4,9,14,1
250460,"Bridge Constructor Portal",13,16,21,0.72
250460,"Bridge Constructor: The Walking Dead",9,11,15,0.5
250460,"Bridge Constructor: Medieval",3,4,5,0.64
250460,"Bridge Constructor: Playground",2,4,4,0.6
250460,"Bridge Constructor Stunts",5,5,10,0.72
250460,"Bridge Constructor Trains - Expansion Pack",1,,,0.43
250460,"Bridge Constructor Portal - Portal Proficiency",7,,11,0.39
244210,"Assetto Corsa",43,76,249,1
244210,"Assetto Corsa Competizione",20,115,200,0.5
244210,"Assetto Corsa - Dream Pack 1",,,,0.46
244210,"Assetto Corsa - Dream Pack 2",,,,0.46
388210,"Day of the Tentacle: Remastered",5,5,6,0.97
4550,"Titan Quest: Immortal Throne",16,28,40,1
9310,"Warhammer 40,000: Dawn of War - Winter Assault",11,13,19,1
13570,"Tom Clancy's Splinter Cell: Chaos Theory",13,14,19,1
21980,"Call of Juarez: Bound in Blood",8,8,12,1
228200,"Company of Heroes",19,26,82,1
228200,"Company of Heroes 2",15,24,58,0.89
228200,"Company of Heroes: Opposing Fronts",14,16,40,0.5
228200,"Company of Heroes: Tales of Valor",5,6,27,0.52
228200,"Company of Heroes 3",18,18,48,0.89
228200,"Company of Heroes: Eastern Front",,,,0.53
228200,"Europe at War",,,,0.18
228200,"Company of Heroes: Far East War",,,,0.55
228200,"Company of Heroes Collection",,,,0.61
228200,"Company of Heroes: Blitzkrieg Mod",,,,0.52
228200,"Company of Heroes: The Great War 1918",,,,0.46
228200,"Company of Heroes 2: Ardennes Assault",11,13,16,0.46
228200,"Company of Heroes 2: Case Blue",4,,,0.57
228200,"Company of Heroes 2: Victory at Stalingrad",5,,,0.4
228200,"Company of Heroes 2: Southern Fronts",6,,,0.47
228200,"Company of Heroes: Battle of Crete",,,,0.5
228200,"Company of Heroes: Modern Combat",,,,0.53
234080,"Castlevania: Lords of Shadow - Ultimate Edition",19,26,46,1
9340,"Company of Heroes: Opposing Fronts",14,16,40,1
33930,"ARMA II: Operation Arrowhead",8,8,11,0.93
206440,"To the Moon",4,4,5,1
206440,"Putt-Putt Goes to the Moon",1,1,1,0.42
206440,"Harvest Moon: The Tale of Two Towns",48,97,234,0.29
206440,"Voyage: Journey to the Moon",12,13,13,0.41
206440,"Nightork Adventures - Beyond the Moons of Shadalee",,,,0.22
206440,"To the Moon: Holiday Minisode 2",,1,,0.35
206440,"Stories of Bethem: Full Moon",13,17,35,0.39
206440,"Sailor Moon: Another Story",18,28,,0.27
206440,"To the Moon and Beyond",1,,3,0.5
206440,"Tobari and the Night of the Curious Moon",13,,,0.28
206440,"Radiant Historia: Perfect Chronology - Under the Moonlight",,,,0.19
206440,"Google Spotlight Stories: Back to the Moon",,,,0.26
206440,"To the Moon: Holiday Minisode",1,1,1,0.38
206440,"Last Hour of an Epic - TO THE MOON RPG",,,,0.29
206440,"The Moon Looks Beautiful Tonight",,,1,0.19
206440,"Just A To the Moon Series Beach Episode",,,,0.28
206440,"Highway to the Moon",,,,0.58
206440,"Mystery Masterpiece: The Moonstone",,,,0.29
